SMILES,pIC50
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(CCCO3)=C2,6.68
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N(C)C=N3)=C2,6.34
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(SC=N3)=C2,6.31
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCN)C=C2)=S,8.28
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCNC)C=C2)=S,8.16
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCN3CCNCC3)C=C2)=S,8.32
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCN3CCN(C)CC3,8.14
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCN3CCN(C)CC3)C=C2)=S,8.09
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCC3CCNCC3,7.86
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCC3CCNCC3,8.14
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3CCN(C)CC3,7.91
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3=CC=CN=C3,7.7
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCC3=CC(N)=NC(N)=C3)C=C2)=S,6.78
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCC3=CN=CN=C3,7.45
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCNCC3C)C(OC)=C2,8.24
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CC(C)NC(C)C3)C(OC)=C2,8
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(C(C)=O)CC3)C(OC)=C2,7.51
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCN3CCN(CCO)CC3)C(OC)=C2,7.63
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CCOCCN)CC3)C(OC)=C2,8.44
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(C4=CC=CC=C4)CC3)C(OC)=C2,7.67
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(C4=NC=C(Cl)C=N4)CC3)C(OC)=C2,7.18
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCC(N(C)C)=O)C(OC)=C2,7.29
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(N3CCN(CCO)CC3)=O)C(OC)=C2,7.31
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCNC(C3CCNCC3)=O)C(OC)=C2,7.8
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCN)=C2,8.1
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCNC)=C2,7.57
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCCNC)=C2,7.66
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCCN(C)C)=C2,7.33
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(N3CCNCC3)=O)C=C2,7.94
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(C(NC3CCN(CCN)CC3)=O)C=C2,7.79
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(/C=C/C(N3CCN(CCN)CC3)=O)C=C2,8.19
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(/C=C/C(NC3CCNCC3)=O)C=C2,7.59
COC1=CC=C(N(C)C(NCCCN2C=NC=C2C)=S)C=C1OC,7.91
COC1=CC=C(N(C(C)C)C(NCCCN2C=NC=C2C)=S)C=C1OC,8.55
COC1=CC=C(N(C2CC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,7.59
COC1=CC=C(N(C2CCC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.07
COC1=CC(N(CC2=CC(F)=CC=C2)C(NCCCN3C=NC=C3C)=S)=CC=C1OC,8.47
COC1=CC=C(N(CC2=CC=C(F)C=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.89
COC1=CC=C(N(C(C)C)C(NCCCN2C=NC=C2C)=O)C=C1OC,7.76
COC1=CC=C(N(CC2CCCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.21
COC1=CC=C(N(CC2=CC=C(F)C=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.41
COC1=C(OC)C=CC(N(C(NCCCN2C=NC=C2C)=O)CC3=CC=C(F)N=C3)=C1,7.51
CC1=CN=CN1CCCNC(N(CC2=CC=C(N)N=C2)C3=CC=C(OC)C(OC)=C3)=O,7.63
COC1=CC=C(N(CC2=CC=NC=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.96
COC1=CC=C(N(CCCCC2=CC=NC(NCCN)=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.8
