SMILES,pIC50
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OC)=C2,6.92
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCO3)C3=C2,6.73
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC3)C3=C2,6.36
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(CCO3)C3=C2,6.39
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OCCC3)=C2,6.32
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(NCCO3)=C2,6.31
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OCCN3)=C2,5.97
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OCCO3)=C2,7.24
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(CCCC3=O)=C2,6.32
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(C(CCC3)=O)=C2,6.1
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(CCCC3O)=C2,6.28
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(C(O)CCC3)=C2,6.09
S=C(NCCCN1C(C)=CN=C1)NN2C(NC3=C(C=CC=C3)C2=O)=O,6.91
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N(C)C=C3)=C2,5.79
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N(C)N=C3)=C2,6.62
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(NN=C3)=C2,6.42
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(NC=N3)=C2,6.33
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=CN3C)=C2,6.15
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=CO3)=C2,6.32
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=C(C)O3)=C2,6.28
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OC=N3)=C2,5.97
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(OC(C)=N3)=C2,6.48
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=CS3)=C2,5.91
S=C(NCCCN1C(C)=CN=C1)NC2=CC=CC=N2,6.34
S=C(NCCCN1C(C)=CN=C1)NC2=NC=C3C(C=CC=C3)=C2,6.29
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(C=CC=C3)=N2,6.47
S=C(NCCCN1C(C)=CN=C1)NC2=NC=CC3=C2C=CC=C3,6.8
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(C=CC=N3)=C2,6.53
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C3C(N=CC=C3)=C2,6.11
S=C(NCCCN1C(C)=CN=C1)NC2=CC=CC3=C2C=CN=C3,6.26
S=C(NCCCN1C(C)=CN=C1)NC2=CC=CC3=C2C=CC=N3,6.43
